Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,100.0,100.0,100.0,,,,,
SG&A,35.2,36.48,24.23,3.43,,,,,,,
R&D,,,,,,,,,,,
Other,80.74,84.26,64.59,109.65,125.42,129.84,149.3,142.4,150.06,156.87,156.87
Operating Margin,27.85,18.65,11.18,12.13,12.35,12.05,8.28,9.43,4.46,5.17,5.17
Net Int Inc & Other,0.72,0.59,0.56,-0.02,2.11,3.66,9.1,2.37,9.41,10.88,10.88
EBT Margin,28.57,19.24,11.74,12.11,14.47,15.71,17.38,11.81,13.88,16.05,16.05
