Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.12,21.93,-11.49,-3.68,3.35,3.35,0.69,10.41,8.58,5.51,10.83
3-Year Average,15.59,17.68,8.12,1.3,-4.13,0.95,2.45,4.74,6.47,8.15,
5-Year Average,10.41,15.4,10.76,6.8,4.7,2.12,-1.72,2.72,5.21,5.65,
10-Year Average,9.84,10.7,8.0,5.65,5.65,6.18,6.5,6.66,6.0,5.17,
