Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,3.63,4.09,2.76,2.76
Free Cash Flow/Sales %,,,,,,,,-12.56,-2.21,-3.01,-3.01
Free Cash Flow/Net Income,1.15,1.19,2.06,2.08,1.22,0.22,-0.96,0.37,-1.57,-3.14,-3.14
