Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,,,,,,-101.5,91.2,15.8,-38.9,-549.1,-549.1
Operating Income AUD Mil,,-8.0,-5.0,-0.0,-2.0,-4.0,-4.0,-2.0,-1.0,-0.0,-0.0
Operating Margin %,,,,,,,,-776.9,,,
Net Income AUD Mil,,-8.0,-5.0,-3.0,-2.0,-4.0,-4.0,-2.0,-1.0,-0.0,-0.0
Earnings Per Share AUD,,-0.54,-0.17,-0.06,-0.01,-0.02,-0.04,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,15.0,29.0,44.0,172.0,181.0,96.0,942.0,1481.0,1481.0,1481.0
Book Value Per Share * AUD,,0.1,0.02,,0.04,0.04,0.03,0.01,,,
Operating Cash Flow AUD Mil,,-2.0,-2.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0
Cap Spending AUD Mil,,-9.0,-1.0,-0.0,-2.0,-1.0,-1.0,-4.0,-1.0,-0.0,-0.0
Free Cash Flow AUD Mil,,-10.0,-3.0,-0.0,-2.0,-2.0,-2.0,-4.0,-1.0,-0.0,-0.0
Free Cash Flow Per Share * AUD,,-0.69,-0.1,-0.01,-0.02,-0.01,-0.01,-0.01,,,
Working Capital AUD Mil,,-4.0,-2.0,0.0,1.0,3.0,-1.0,1.0,2.0,2.0,
