Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.26,1.5,-9.3,22.93,18.97,1.55,-2.41,24.25,-6.22,3.06,3.99
3-Year Average,14.99,9.11,1.4,4.21,9.88,14.09,5.64,7.18,4.38,6.29,
5-Year Average,13.12,13.99,6.96,7.69,8.81,6.46,5.62,12.48,6.56,3.54,
10-Year Average,3.66,5.49,2.3,-0.92,2.32,9.74,9.73,9.69,7.12,6.14,
