Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-15.36,12.01,4.14,36.18,-14.27,-14.15,29.29,-44.21,232.74,-77.17,
3-Year Average,-0.95,3.3,-0.43,16.68,6.73,0.08,-1.64,-14.77,33.89,-24.89,
5-Year Average,-5.26,-3.55,2.54,9.34,2.88,3.17,6.18,-6.28,12.05,-14.0,
10-Year Average,,5.92,5.59,7.47,6.48,-1.13,1.2,-1.97,10.69,-5.94,
