Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,153.98,185.25,356.52,172.5
Net Margin %,,,,,,,,1.97,-3.15,-8.15,-5.33
Asset Turnover (Average),,,,,,,,,0.34,0.44,0.66
Return on Assets %,,,,,,,,,-1.07,-3.57,-3.51
Financial Leverage (Average),,,,,,,,,3.04,3.96,3.27
Return on Equity %,,,,,,,,,-3.26,-11.85,-11.46
Return on Invested Capital %,,,,,,,,,0.32,-3.1,-1.17
Interest Coverage,,,,,,,,1.26,1.39,1.83,2.67
