Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.27,-11.61,5.85,-16.51,29.71,16.5,-23.31,79.85,9.49,-15.14,4.02
3-Year Average,2.42,-0.78,1.04,-7.9,4.66,8.06,5.04,17.13,14.73,18.67,
5-Year Average,-3.39,-2.5,0.1,-2.9,2.24,3.37,0.48,11.72,17.94,8.35,
10-Year Average,6.56,-0.08,-2.35,-5.39,-2.22,-0.06,-1.02,5.75,7.02,5.25,
