Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,66.3,-14.29,-3.94,-16.95,-10.9,4.13,12.91,-40.53,25.26,11.96,
3-Year Average,60.79,33.04,11.04,-11.9,-10.76,-8.32,1.56,-11.24,-5.6,-5.87,
5-Year Average,43.04,32.62,27.9,13.44,0.26,-8.7,-3.53,-12.35,-4.84,-0.39,
10-Year Average,,,27.06,18.66,16.47,14.28,13.11,5.88,3.9,-0.06,
