Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
SG&A,68.11,77.39,81.57,83.09,77.85,79.2,75.88,75.19,73.48,75.15,75.36
R&D,,,,,,,,,,,
Other,6.25,,,,,,,,,,
Operating Margin,25.63,22.61,18.43,16.91,22.15,20.8,24.12,24.81,26.52,24.85,24.64
Net Int Inc & Other,6.43,-2.75,-4.83,6.99,0.25,-0.3,2.91,2.3,0.07,0.64,2.29
EBT Margin,32.07,19.86,13.61,23.91,22.4,20.51,27.02,27.1,26.59,25.49,26.93
