Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,51.86,33.11,24.77,27.7,,,,,,
Gross Margin,100.0,48.14,66.89,75.23,72.3,100.0,100.0,100.0,100.0,100.0,100.0
SG&A,,,,,55.42,560.95,353.37,720.93,900.29,,
R&D,,,,,,,,,,,
Other,200.84,95.95,77.2,122.01,,,,,,,
Operating Margin,-104.76,-47.71,-10.31,-46.78,16.87,-460.95,-253.37,-620.93,-800.29,,
Net Int Inc & Other,472.73,30.9,-19.81,-608.96,-47.82,-36.6,-374.5,,,,
EBT Margin,367.97,-16.81,-30.12,-655.74,-30.95,-497.55,-627.87,,,,
