Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,,,,
Days Inventory,,,12.62,,,,,,,,
Payables Period,46.04,41.06,32.44,42.26,110.52,76.38,11.54,15.08,18.09,17.14,14.87
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,,,,,,,,
Inventory Turnover,,,28.91,,,,,,,,
Fixed Assets Turnover,18.15,13.49,13.02,16.62,24.19,26.93,32.98,38.84,41.94,41.67,42.33
Asset Turnover,1.92,2.16,2.57,2.6,1.58,1.03,0.93,0.88,0.79,0.74,0.74
