Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,68.97,45.24,45.4,42.38,40.8,43.13,43.26,37.48
Days Inventory,,,,,,,,,,,
Payables Period,,,,21.47,19.52,17.13,14.79,22.29,23.68,23.99,24.0
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,5.29,8.07,8.04,8.61,8.95,8.46,8.44,9.74
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,,,3.44,3.62,2.63,2.99,3.64,3.71,3.87,3.64
Asset Turnover,,,,0.66,0.8,0.47,0.48,0.43,0.4,0.48,0.53
