Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0
SG&A,,,,493.59,,,,,133.86,95.76,95.76
R&D,,766.67,81.93,,,,,,,,
Other,,,,-117.34,,,,343.07,8.97,17.49,17.49
Operating Margin,,,,-276.25,,,,,-42.83,-13.25,-13.25
Net Int Inc & Other,,318.52,13.25,2.42,,,,-30.92,-3.12,-1.68,-1.68
EBT Margin,,,,-273.83,,,,,-45.95,-14.93,-14.93
