Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,18.56,33.76,-1.5,-5.19,12.14,17.94,-0.82,-21.28,-15.87,5.09,3.67
3-Year Average,21.18,19.26,16.03,7.7,1.55,7.84,9.47,-2.71,-13.07,-11.38,
5-Year Average,10.88,20.45,18.58,9.64,10.68,10.56,4.14,-0.42,-2.77,-4.03,
10-Year Average,2.32,6.42,7.28,,10.05,10.72,12.0,8.66,3.25,3.06,
