Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,26.62,9.28,6.98,-3.54,-7.95,10.52,-8.35,-41.35,40.43,12.7,
3-Year Average,15.99,17.86,13.97,4.09,-1.7,-0.63,-2.31,-15.94,-8.95,-2.45,
5-Year Average,15.55,21.38,12.78,11.06,5.62,2.79,-0.77,-12.01,-5.14,-1.23,
10-Year Average,16.89,16.15,12.86,12.21,9.32,8.98,9.75,-0.38,2.64,2.14,
