Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,15.35,-14.39,107.56,-29.76,4.47,12.83,0.24,9.63,4.34,-1.81,21.74
3-Year Average,22.16,6.51,27.03,7.67,15.06,-6.1,5.72,7.43,4.67,3.95,
5-Year Average,19.78,11.8,26.5,11.99,8.51,8.03,11.49,-1.87,6.21,4.9,
10-Year Average,,,,,15.95,13.75,11.65,11.42,9.06,6.69,
