Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,24.61,7.33,-0.05,11.92,5.02,-3.97,2.36,26.71,-17.7,22.43,
3-Year Average,29.36,19.22,10.16,6.28,5.51,4.12,1.07,7.59,2.2,8.49,
5-Year Average,27.07,25.7,18.35,13.64,9.46,3.9,2.92,7.92,1.49,4.65,
10-Year Average,44.82,33.81,28.08,20.28,15.97,14.9,13.74,13.02,7.39,7.03,
