Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,5.34,-23.83,25.26,30.64,14.17,-20.59,22.6,-1.76,-7.67,27.95,
Free Cash Flow Growth % YOY,21.47,-24.65,30.42,25.29,14.79,-17.23,21.36,0.15,-8.55,23.84,
Cap Ex as a % of Sales,2.48,2.14,1.54,2.74,3.13,1.4,1.88,1.25,1.54,3.07,2.56
Free Cash Flow/Sales %,29.08,22.1,28.7,27.82,33.77,28.88,31.9,32.02,31.44,36.69,30.56
Free Cash Flow/Net Income,1.43,1.12,1.47,1.03,1.43,1.28,1.21,1.17,1.26,1.38,1.18
