Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,40.31,-40.87,101.78,-57.34,169.71,-14.7,15.71,12.57,-3.21,-32.89,17.81
3-Year Average,-13.89,-2.43,18.74,-20.16,32.41,-0.63,38.59,3.57,8.03,-9.91,
5-Year Average,9.1,-2.86,-5.29,-4.37,14.01,3.21,18.03,5.03,23.73,-6.31,
10-Year Average,3.49,-0.62,2.26,-10.56,23.16,6.11,7.08,-0.26,8.78,3.35,
