Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.81,11.35,-57.36,57.99,34.8,9.3,-27.41,-0.18,-50.34,-51.46,
3-Year Average,17.04,7.77,-21.26,-9.14,-3.17,32.53,2.27,-7.48,-28.87,-37.8,
5-Year Average,28.79,16.02,-5.31,-3.36,0.78,2.02,-6.35,11.02,-11.92,-28.19,
10-Year Average,16.98,21.65,9.32,5.57,10.36,14.63,4.24,2.53,-7.74,-14.93,
