Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,4.84,14.01,39.65,23.96,22.9,26.83,-3.65,0.42,-52.87,217.35,
3-Year Average,3.75,9.68,18.62,25.44,28.62,24.55,14.52,7.06,-23.03,14.52,
5-Year Average,5.32,5.26,12.2,17.97,20.53,25.2,21.06,13.33,-6.6,12.91,
10-Year Average,15.12,12.66,12.4,12.45,14.63,14.74,12.88,12.76,4.97,16.66,
