Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-0.15,-5.11,1.09,1.01,0.83,2.31,-1.54,1.51,2.11,2.94,2.02
3-Year Average,0.17,-1.47,-1.43,-1.05,0.98,1.38,0.52,0.75,0.68,2.18,
5-Year Average,1.82,-0.02,-0.73,-0.47,-0.49,-0.01,0.73,0.82,1.03,1.45,
10-Year Average,11.47,9.75,0.79,0.78,0.9,0.9,0.36,0.04,0.28,0.47,
