Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,34.66,37.18,37.45,37.75,38.54,36.65
Net Margin %,,,,,,26.62,34.49,31.98,31.92,26.98,23.45
Asset Turnover (Average),,,,,,,0.03,0.02,0.02,0.02,0.02
Return on Assets %,,,,,,,0.88,0.75,0.71,0.53,0.43
Financial Leverage (Average),,,,,,,31.46,34.86,33.74,32.75,33.21
Return on Equity %,,,,,,,27.56,24.66,24.4,17.75,14.43
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
