Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,14.57,4.1,-1.93,3.56,7.36,1.95,11.29,-9.39,8.76,6.22,4.64
3-Year Average,1.62,2.29,5.36,1.87,2.92,4.27,6.8,0.93,3.13,1.54,
5-Year Average,2.6,4.55,1.39,1.68,5.39,2.96,4.35,2.71,3.72,3.5,
10-Year Average,6.63,5.0,5.97,1.22,1.59,2.78,4.45,2.05,2.7,4.44,
