Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.53,9.63,1.73,2.24,8.18,2.14,7.53,9.25,-40.21,1.96,5.82
3-Year Average,5.81,7.83,6.57,4.47,4.01,4.15,5.91,6.26,-11.11,-12.67,
5-Year Average,6.79,6.73,5.73,5.45,6.01,4.73,4.32,5.82,-4.94,-6.06,
10-Year Average,6.26,6.47,7.01,6.42,6.13,5.75,5.52,5.77,0.12,-0.21,
