Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,33.33,-49.38,,,291.86,212.46,-19.56,29.4,4.01,2.89,1.87
3-Year Average,35.03,-3.8,,-59.56,-19.99,,114.35,48.16,2.68,11.46,
5-Year Average,21.55,10.41,,-34.96,-19.14,-4.13,5.18,,67.68,28.33,
10-Year Average,-5.16,-4.73,,-25.25,-2.15,7.95,7.76,7.58,4.43,1.87,
