Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,,,0.77,0.33
Free Cash Flow/Sales %,,,,,,,,,,-14.48,-3.22
Free Cash Flow/Net Income,,,,,,,,,,-1.08,-0.3
