Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,35.24,32.2,24.88,32.23,35.2,34.8,40.91,42.78,41.59,45.02,40.8
R&D,,,,,,,,,,,
Other,25.22,38.45,22.15,28.64,27.31,27.09,17.44,18.51,16.17,16.83,14.5
Operating Margin,28.07,-41.24,9.43,14.84,30.46,33.52,38.27,33.51,36.18,32.72,41.17
Net Int Inc & Other,-11.47,-70.59,-43.55,-24.29,-7.04,-4.6,-3.37,-5.2,-6.06,-5.43,-3.52
EBT Margin,28.07,-41.24,9.43,14.84,30.46,33.52,38.27,33.51,36.18,32.72,41.17
