Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.49,11.84,-20.2,43.28,12.06,-13.57,4.55,8.14,21.32,-5.78,
3-Year Average,19.91,11.25,0.72,8.54,8.61,11.54,0.42,-0.77,11.11,7.32,
5-Year Average,19.05,19.81,9.0,9.5,10.41,4.37,2.97,9.43,5.85,2.24,
10-Year Average,21.49,20.34,15.04,15.28,14.77,11.47,11.07,9.21,7.66,6.24,
