Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,9.76,18.39,8.85,10.49,6.89,4.72,-0.73,-27.06,9.72,-9.99,
3-Year Average,7.31,15.84,12.25,12.5,8.73,7.34,3.58,-8.81,-7.39,-10.36,
5-Year Average,23.82,10.22,9.75,13.33,10.81,9.77,5.97,-2.18,-2.32,-5.62,
10-Year Average,5.51,6.9,5.7,6.25,7.46,16.59,8.07,3.61,5.21,2.26,
