Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-8.68,-19.53,-17.8,14.4,-7.95,8.64,16.54,15.5,3.74,17.6,64.75
3-Year Average,8.22,-6.72,-15.47,-8.88,-4.7,4.59,5.24,13.5,11.77,12.11,
5-Year Average,13.11,3.56,-3.46,-5.26,-8.65,-5.42,1.85,9.02,6.91,12.27,
10-Year Average,22.39,16.35,10.26,9.76,6.3,3.43,2.7,2.59,0.64,1.27,
