Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,8.4,11.05,9.75,11.68
Days Inventory,,,,,,,,20.02,17.59,10.79,13.21
Payables Period,,,,,,,,70.41,67.35,44.55,56.23
Cash Conversion Cycle,,,,,,,,-41.99,-38.71,-24.01,-31.34
Receivables Turnover,,,,,,,,43.46,33.03,37.45,31.25
Inventory Turnover,,,,,,,,18.24,20.75,33.83,27.62
Fixed Assets Turnover,,,,,,,,4.05,3.33,3.42,3.54
Asset Turnover,,,,,,,,2.15,1.89,1.96,1.31
