Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,-12.83,-23.05,269.44,-30.0,12.46,-26.54,-11.87,47.96,-24.82,38.08,
Free Cash Flow Growth % YOY,,,,-36.53,11.26,-52.32,,,-23.84,27.24,
Cap Ex as a % of Sales,19.23,19.57,3.83,3.28,3.57,5.49,10.01,4.97,3.39,4.93,4.51
Free Cash Flow/Sales %,-11.71,-14.1,15.22,8.63,9.04,4.77,-1.6,7.22,5.09,6.09,5.3
Free Cash Flow/Net Income,-4.96,-13.47,4.08,3.45,1.63,1.19,-0.59,1.97,1.68,1.54,1.12
