Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-46.15,-98.98,600.0,,,606.67,-58.49,,-11.54
3-Year Average,,24.2,35.95,,-66.24,,146.62,147.4,,,
5-Year Average,,,10.31,-59.78,-29.07,,-39.3,1.58,113.15,,
10-Year Average,,7.97,5.39,-38.99,-18.01,,,5.86,-7.41,,
