Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-2.15,-1.83,-2.19,9.1,0.27,3.48
3-Year Average,,,,,,,,-2.06,1.56,2.28,
5-Year Average,,,,,,,,,,0.55,
10-Year Average,,,,,,,,,,,
