Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,14.09,2.95,-0.85,9.72,15.66,4.91,9.82,10.08,5.8,6.1,0.1
3-Year Average,10.68,8.64,5.21,3.85,7.96,10.01,10.04,8.24,8.55,7.31,
5-Year Average,11.73,9.37,6.71,6.88,8.13,6.33,7.71,9.98,9.19,7.32,
10-Year Average,6.91,8.13,7.77,8.2,9.33,9.0,8.54,8.34,8.03,7.72,
