Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.21,-16.88,7.15,45.05,28.61,-1.06,-3.69,-25.86,26.87,67.87,
3-Year Average,17.7,2.34,1.44,8.91,25.97,22.66,7.01,-10.94,-3.24,16.45,
5-Year Average,17.96,7.03,7.75,10.74,14.26,10.45,13.75,5.67,2.88,8.51,
10-Year Average,17.88,11.3,5.03,11.35,12.97,14.14,10.34,6.7,6.74,11.35,
