Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,5.32,7.54,10.27,13.58,6.94,14.4,-5.62,-5.06,-8.17,8.08,-3.67
3-Year Average,5.04,4.85,7.69,10.43,10.23,11.59,4.91,0.83,-6.29,-1.96,
5-Year Average,8.46,7.66,6.57,7.62,8.69,10.5,7.66,4.48,0.13,0.35,
10-Year Average,7.82,8.83,7.77,7.87,8.73,9.48,7.66,5.52,3.81,4.44,
