Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,22.29,22.72,2.15,8.64,21.21,10.08,12.92,13.5,2.05,11.47,17.99
3-Year Average,16.19,19.33,15.3,10.84,10.39,13.17,14.64,12.16,9.36,8.89,
5-Year Average,16.54,17.48,14.48,13.52,15.08,12.69,10.83,13.19,11.78,9.92,
10-Year Average,,16.44,15.05,14.38,15.34,14.6,14.1,13.83,12.65,12.47,
