Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,9.8,27.52,-58.94,57.61,42.13,-29.34,27.2,-86.16,,,-956.76
3-Year Average,26.63,15.26,-16.85,-6.2,-2.75,16.54,8.5,-50.08,,,
5-Year Average,33.99,29.65,1.24,-0.18,5.19,-3.69,-3.74,-22.55,,,
10-Year Average,26.1,37.76,19.09,10.36,17.18,13.6,11.72,-11.45,,,
