Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,,,,,,,37.13,49.61,63.83,63.83
Days Inventory,,,,,,,,,,,
Payables Period,,,,,,,,85.23,91.2,67.01,67.01
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,,,,,9.83,7.36,5.71,5.71
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,,,,,,,24.95,16.03,12.8,12.8
Asset Turnover,,,,,,,,1.04,1.02,0.98,0.98
