Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,129.0,,-267.0,,-236.0,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,6.09,6.9,10.7,18.36,13.9,9.22,13.81,22.7,19.08,16.7,16.7
Free Cash Flow/Sales %,9.84,3.65,-2.45,-7.62,-3.37,7.02,1.84,-0.37,1.45,1.0,1.0
Free Cash Flow/Net Income,2.11,8.0,-1.21,-4.09,-2.13,1.78,0.33,-0.06,0.16,0.13,0.13
