Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-79.98,402.58,-37.59,-46.83,68.28,7.56,5.44,-28.24,21.62,
3-Year Average,,-25.55,11.6,-10.08,23.4,-17.65,-1.27,24.04,-6.64,-2.74,
5-Year Average,,-5.03,23.61,8.08,-13.94,-8.27,27.65,-8.73,-6.15,10.74,
10-Year Average,,,17.15,10.44,6.69,13.33,10.24,6.35,0.78,-2.48,
