Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-7.18,-4.43,-2.54,-43.98,-35.86,-14.99,-20.98,-218.5,-15.01,-21.69,-20.13
Financial Leverage (Average),1.29,1.05,1.08,1.08,1.17,1.03,1.06,1.17,1.09,1.09,1.05
Return on Equity %,-9.5,-5.1,-2.71,-47.56,-40.09,-16.12,-21.95,-254.93,-16.93,-23.64,-21.59
Return on Invested Capital %,-9.6,-5.12,-2.71,-47.56,-40.03,-16.16,-21.96,-255.49,-17.11,-23.48,-21.66
Interest Coverage,,-114.54,,,-622.14,,,,-64.73,-78.58,-68.75
