Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
COGS,40.46,24.25,32.95,34.62,35.98,37.82,,,,,
Gross Margin,59.54,75.75,67.05,65.38,64.02,62.18,,,,,
SG&A,83.86,95.02,89.33,117.73,86.92,338.19,,,,,
R&D,10.26,13.96,7.82,11.22,6.41,2.07,,,,,
Other,8.89,11.09,6.47,8.92,8.85,8.36,,,,,
Operating Margin,-43.47,-44.32,-36.56,-72.5,-38.15,-286.43,,,,,
Net Int Inc & Other,43.47,44.32,36.56,72.5,27.89,19.41,,,,,
EBT Margin,,,,,-10.27,-267.02,,,,,
