Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,78.0,-68.16,174.12,20.6,-24.2,0.47,-7.48,11.11,25.45,-25.0,2.11
3-Year Average,35.22,-16.88,15.81,1.72,35.83,-2.8,-11.01,1.08,8.85,1.49,
5-Year Average,27.9,-10.13,16.62,13.68,7.26,-4.33,18.43,-1.14,-0.36,-0.57,
10-Year Average,26.72,4.45,3.9,11.69,22.5,10.62,3.16,7.37,6.43,3.27,
