Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,21.98,1.26,0.61,84.06,-21.07,-7.49,28.96,0.82,-11.28,4.41,4.73
3-Year Average,4.47,1.39,7.51,23.31,13.49,10.35,-1.99,6.35,4.88,-2.26,
5-Year Average,22.2,5.6,3.04,14.06,12.54,6.48,11.76,11.81,-3.38,2.18,
10-Year Average,9.33,8.97,2.98,7.55,,14.07,8.64,7.33,4.98,7.24,
