Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-29.37,1.84,14.98,1.93,-49.8,178.69,8.35,6.08,0.64,
Free Cash Flow Growth % YOY,,-73.27,98.56,43.25,-33.41,,,-1.41,5.49,-11.49,
Cap Ex as a % of Sales,6.16,5.66,5.66,5.05,5.25,5.87,6.28,7.37,9.79,11.09,9.23
Free Cash Flow/Sales %,5.3,1.2,2.93,3.73,2.02,-2.64,2.33,2.4,3.17,3.04,2.0
Free Cash Flow/Net Income,0.7,0.17,0.77,0.52,0.23,-0.31,0.25,0.27,0.47,0.53,0.29
