Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,1.97,11.65,-13.91,6.91,3.33,-4.94,7.77,7.07,-5.66,0.75,-0.76
3-Year Average,6.34,5.19,-0.67,0.91,-1.66,1.65,1.92,3.13,2.87,0.58,
5-Year Average,1.05,7.13,2.94,1.39,1.6,0.19,-0.52,3.92,1.35,0.83,
10-Year Average,13.89,14.79,12.89,-1.01,-3.24,0.62,3.24,3.42,1.37,1.22,
