Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,0.0,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-0.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0
Earnings Per Share AUD,-0.04,-0.05,-0.04,-0.04,-0.02,-0.06,-0.01,-0.01,-0.01,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,10.0,11.0,22.0,26.0,41.0,52.0,97.0,121.0,131.0,164.0,164.0
Book Value Per Share * AUD,0.23,0.19,0.16,0.18,0.14,0.1,0.06,0.07,0.05,0.05,0.05
Operating Cash Flow AUD Mil,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow AUD Mil,-1.0,-2.0,-1.0,-2.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
Free Cash Flow Per Share * AUD,-0.13,-0.15,-0.07,-0.08,-0.08,-0.05,-0.03,-0.02,-0.01,-0.01,
Working Capital AUD Mil,1.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,
