Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,25.6,-6.52,5.52,36.08,27.84,30.05,6.52,-4.55,-6.83,-5.36,-4.53
3-Year Average,25.23,11.44,7.4,10.31,22.44,31.28,20.98,9.76,-1.79,-5.59,
5-Year Average,22.92,16.37,14.14,14.72,16.6,17.42,20.52,18.13,9.51,3.12,
10-Year Average,12.78,10.22,13.14,18.76,20.19,20.14,18.43,16.12,12.09,9.65,
