Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.36,17.07,10.76,-23.51,11.07,-9.59,,,-47.56,23.26,-85.29
3-Year Average,106.34,46.82,13.7,-0.27,-2.01,-8.42,,-15.42,-29.46,,
5-Year Average,,,62.68,21.81,4.54,-0.08,,-12.46,-18.83,-17.12,
10-Year Average,,,,,,,,19.34,-0.56,-6.91,
