Key Margins % of Sales,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Revenue,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,72.79,78.49,78.31,81.06,79.4,78.38,78.1
Gross Margin,,,,,27.21,21.51,21.69,18.94,20.6,21.62,21.9
SG&A,,,,,,,,,,,
R&D,,,,,,,,,,,
Other,,,,,18.42,20.55,27.8,34.38,27.04,27.63,28.96
Operating Margin,,,,,9.54,2.06,-4.54,-14.25,-5.89,-5.57,-6.56
Net Int Inc & Other,,,,,-0.5,-1.48,-6.6,-3.5,-2.89,-1.62,-1.31
EBT Margin,,,,,9.04,0.58,-11.14,-17.75,-8.78,-7.19,-7.87
