Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,1.87,-90.37,290.48,-1.22,-12.35,156.34,43.96,24.81,41.59,-17.49,
3-Year Average,6.59,-39.75,-27.37,-28.11,50.09,30.44,47.89,66.38,36.51,13.39,
5-Year Average,5.64,-33.88,-14.55,-3.34,-19.8,-3.55,65.66,31.87,41.72,40.01,
10-Year Average,4.17,-20.73,,,,0.94,4.66,6.15,17.04,5.97,
