Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,382.85,,,21.76,-1.42,45.12,14.38,13.39,-0.55,13.45,16.23
3-Year Average,47.31,,114.35,35.42,,20.32,17.84,23.46,8.85,8.56,
5-Year Average,50.82,,45.49,47.57,63.88,28.86,,17.7,13.03,16.25,
10-Year Average,,,54.92,31.5,28.46,39.41,,30.86,29.15,38.03,
