Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-32.0,,,274.23,-4.84,-28.16,7.29,-37.17,92.38,31.47,
3-Year Average,-8.37,,-26.2,30.31,,36.77,-9.82,-21.47,9.05,16.7,
5-Year Average,21.22,,-14.58,15.87,7.44,8.63,,11.52,-2.38,4.14,
10-Year Average,10.35,,-1.77,28.12,13.34,14.75,9.11,-2.4,6.35,5.78,
