Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,3212.22,190.27,-37.5,51.13,-66.54,30.6,65.99,12.92,0.67,-23.83,
Free Cash Flow Growth % YOY,,382.99,-34.83,52.21,-81.53,41.14,123.35,24.03,-1.52,-39.03,
Cap Ex as a % of Sales,2.25,1.99,1.11,1.48,2.0,2.43,2.43,1.97,2.12,2.56,2.5
Free Cash Flow/Sales %,2.3,10.44,7.86,11.08,1.9,2.7,5.9,6.91,6.74,3.99,2.64
Free Cash Flow/Net Income,0.9,2.46,3.91,2.76,0.25,0.42,1.57,1.09,1.13,0.51,0.36
