Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,9.29,10.95,11.65,11.91,11.89,6.42,11.45,7.79,8.95,8.37,10.89
Gross Margin,90.71,89.05,88.35,88.09,88.11,93.58,88.55,92.21,91.05,91.63,89.11
SG&A,133.45,51.54,44.67,41.92,39.34,33.92,31.57,28.2,33.14,30.93,30.44
R&D,95.72,24.15,21.18,18.19,17.54,19.64,20.44,23.01,27.23,24.55,23.59
Other,,,,0.13,1.77,4.37,2.51,2.1,10.06,14.53,16.5
Operating Margin,-138.47,13.36,22.51,27.85,29.46,35.65,34.04,38.9,20.62,21.63,18.58
Net Int Inc & Other,9.33,0.05,-0.97,-0.3,-0.15,-0.6,-0.11,0.13,-1.5,-2.95,-2.39
EBT Margin,-129.14,13.4,21.54,27.55,29.32,35.06,33.92,39.03,19.12,18.68,16.19
