Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Gross Margin %,-63.3,-108.5,,59.6,-72.3,-735.5,-91.3,-681.5,24.6,-228.5,-228.5
Operating Income AUD Mil,-1.0,-11.0,-3.0,-2.0,-4.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0
Operating Margin %,-147.3,,,-77.7,-934.7,,-257.0,-685.9,-45.5,-501.8,-501.8
Net Income AUD Mil,-1.0,-11.0,-3.0,-2.0,-4.0,-3.0,-2.0,-1.0,-1.0,-2.0,-2.0
Earnings Per Share AUD,-0.02,-0.1,-0.02,-0.01,-0.01,-0.01,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,49.0,115.0,141.0,206.0,364.0,456.0,956.0,2970.0,10583.0,10807.0,10807.0
Book Value Per Share * AUD,0.13,0.02,0.01,0.01,0.02,,,,,,
Operating Cash Flow AUD Mil,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-3.0,-3.0
Free Cash Flow AUD Mil,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-5.0,-5.0
Free Cash Flow Per Share * AUD,-0.03,-0.01,-0.01,,,,,,,,
Working Capital AUD Mil,1.0,1.0,-0.0,-0.0,2.0,1.0,-2.0,1.0,1.0,-0.0,
