Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,,,,,,,,,69.0,73.0
Gross Margin %,,,,,,,,,,20.5,19.7
Operating Income AUD Mil,,,,,,,,,,11.0,11.0
Operating Margin %,,,,,,,,,,16.2,15.6
Net Income AUD Mil,,,,,,,,,,9.0,8.0
Earnings Per Share AUD,,,,,,,,,,0.16,0.13
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,,57.0,57.0,58.0
Book Value Per Share * AUD,,,,,,,,,,,0.69
Operating Cash Flow AUD Mil,,,,,,,,,,-9.0,-2.0
Cap Spending AUD Mil,,,,,,,,,,-1.0,-0.0
Free Cash Flow AUD Mil,,,,,,,,,,-10.0,-2.0
Free Cash Flow Per Share * AUD,,,,,,,,,,,
Working Capital AUD Mil,,,,,,,,,19.0,23.0,
