Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,1960.29,141.21,-76.59,119.0,-41.62,,,
3-Year Average,,,,,,126.6,7.34,-33.11,,,
5-Year Average,,,,,,,,71.59,,,
10-Year Average,,,,,,,,,,,
