Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,175.38,174.79,1026.68,1183.79,1183.79
Days Inventory,,,,,,,10.52,23.88,105.17,,
Payables Period,,,,,,,134.25,142.2,505.0,1921.51,1921.51
Cash Conversion Cycle,,,,,,,51.66,56.46,626.86,,
Receivables Turnover,,,,,,,2.08,2.09,0.36,0.31,0.31
Inventory Turnover,,,,,,,34.67,15.29,3.47,,
Fixed Assets Turnover,,,,,,,20.28,8.69,0.67,0.19,0.19
Asset Turnover,,,,,,,1.38,1.21,0.13,0.06,0.06
