Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.54,5.44,-5.59,40.77,21.16,-2.32,-8.68,-2.34,6.04,7.96,6.26
3-Year Average,13.11,12.13,4.47,11.9,17.21,18.55,2.62,-4.5,-1.85,3.79,
5-Year Average,,12.21,7.57,13.38,14.23,10.65,7.51,8.24,2.28,-0.06,
10-Year Average,,,,,,,9.83,7.91,7.69,6.85,
